調價日期,工業及其他用戶(液化天然氣)元/公斤,公用天然氣用戶(液化天然氣)元/公斤
2025/7/1,22.02,21.33
2025/7/1,,
2025/7/1,,
2025/6/1,22.02,21.33
2025/6/1,,
2025/6/1,,
2025/5/1,22.02,21.33
2025/5/1,,
2025/5/1,,
2025/4/1,22.02,21.33
2025/4/1,,
2025/4/1,,
2025/3/1,21.4,20.71
2025/3/1,,
2025/3/1,,
2025/2/1,19.51,18.82
2025/2/1,,
2025/2/1,,
2025/1/1,19.51,18.82
2025/1/1,,
2025/1/1,,
2024/12/1,19.51,18.82
2024/12/1,,
2024/12/1,,
2024/11/1,18.96,18.26
2024/11/1,,
2024/11/1,,
2024/10/1,18.43,17.74
2024/10/1,,
2024/10/1,,
2024/9/1,18.43,17.74
2024/9/1,,
2024/9/1,,
2024/8/1,16.81,16.12
2024/8/1,,
2024/8/1,,
2024/7/1,16.81,16.12
2024/7/1,,
2024/7/1,,
2024/6/1,15.47,14.78
2024/6/1,,
2024/6/1,,
2024/5/1,12.78,12.09
2024/5/1,,
2024/5/1,,
2024/4/1,12.78,12.09
2024/4/1,,
2024/4/1,,
2024/3/1,12.78,12.09
2024/3/1,,
2024/3/1,,
2024/2/1,12.78,12.09
2024/2/1,,
2024/2/1,,
2024/1/1,12.78,12.09
2024/1/1,,
2024/1/1,,
2023/12/1,12.78,12.09
2023/12/1,,
2023/12/1,,
2023/11/1,12.78,12.09
2023/11/1,,
2023/11/1,,
2023/10/1,12.78,12.09
2023/10/1,,
2023/10/1,,
2023/9/1,12.78,12.09
2023/9/1,,
2023/9/1,,
2023/8/1,12.78,12.09
2023/8/1,,
2023/8/1,,
2023/7/1,12.78,12.09
2023/7/1,,
2023/7/1,,
2023/6/1,12.78,12.09
2023/6/1,,
2023/6/1,,
2023/5/1,12.78,12.09
2023/5/1,,
2023/5/1,,
2023/4/1,12.78,12.09
2023/4/1,,
2023/4/1,,
2023/3/1,12.78,12.09
2023/3/1,,
2023/3/1,,
2023/2/1,12.78,12.09
2023/2/1,,
2023/2/1,,
2023/1/1,12.78,12.09
2023/1/1,,
2023/1/1,,
2022/12/1,12.78,12.09
2022/12/1,,
2022/12/1,,
2022/11/1,12.78,12.09
2022/11/1,,
2022/11/1,,
2022/10/1,12.78,12.09
2022/10/1,,
2022/10/1,,
2022/9/1,12.78,12.09
2022/9/1,,
2022/9/1,,
2022/8/1,12.78,12.09
2022/8/1,,
2022/8/1,,
2022/7/1,12.78,12.09
2022/7/1,,
2022/7/1,,
2022/6/1,12.78,12.09
2022/6/1,,
2022/6/1,,
2022/5/1,12.78,12.09
2022/5/1,,
2022/5/1,,
2022/4/1,12.78,12.09
2022/4/1,,
2022/4/1,,
2022/3/1,12.78,12.09
2022/3/1,,
2022/3/1,,
2022/2/1,12.78,12.09
2022/2/1,,
2022/2/1,,
2022/1/1,12.78,12.09
2022/1/1,,
2022/1/1,,
2021/12/1,12.78,12.09
2021/12/1,,
2021/12/1,,
2021/11/1,12.78,12.09
2021/11/1,,
2021/11/1,,
2021/10/1,12.78,12.09
2021/10/1,,
2021/10/1,,
2021/9/1,12.78,12.09
2021/9/1,,
2021/9/1,,
2021/8/1,12.78,12.09
2021/8/1,,
2021/8/1,,
2021/7/1,12.78,12.09
2021/7/1,,
2021/7/1,,
2021/6/1,12.78,12.09
2021/6/1,,
2021/6/1,,
2021/5/1,12.78,12.09
2021/5/1,,
2021/5/1,,
2021/4/1,,
2021/4/1,,
2021/3/1,,
2021/3/1,,
2021/2/1,,
2021/2/1,,
2021/1/1,,
2021/1/1,,
2020/12/2,,
2020/12/2,,
2020/11/2,,
2020/11/2,,
2020/10/2,,
2020/10/2,,
2020/9/2,,
2020/9/2,,
2020/8/2,,
2020/8/2,,
2020/7/2,,
2020/7/2,,
2020/6/2,,
2020/6/2,,
2020/5/2,,
2020/5/2,,
2020/4/2,,
2020/4/2,,
2020/3/2,,
2020/3/2,,
2020/2/2,,
2020/2/2,,
2020/1/2,,
2020/1/2,,
2019/12/2,,
2019/12/2,,
2019/11/2,,
2019/11/2,,
2019/10/2,,
2019/10/2,,
2019/9/2,,
2019/9/2,,
2019/8/2,,
2019/8/2,,
2019/7/2,,
2019/7/2,,
2019/6/1,,
2019/6/1,,
2019/5/1,,
2019/5/1,,
2019/4/1,,
2019/4/1,,
2019/3/2,,
2019/3/2,,
2019/2/1,,
2019/2/1,,
2019/1/2,,
2019/1/2,,
2018/12/1,,
2018/12/1,,
2018/11/1,,
2018/11/1,,
2018/10/2,,
2018/10/2,,
2018/9/1,,
2018/9/1,,
2018/8/2,,
2018/8/2,,
2018/7/1,,
2018/7/1,,
2018/6/2,,
2018/6/2,,
2018/5/2,,
2018/5/2,,
